Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Artist Genres,Streams,Views,Likes,Playlist Count,Playlist Reach
In The Name Of Love,Pacha 2017,Martin Garrix,2015-10-23,NLM5S1600003,-1.2501964883075463,0.4814779625889317,1.8663394251750636,1.4839552119603912,1.5440511476777443,0.710467241124201,1.5458305614776553,2.370717577851943,1.2146431157899422,0.03795451593492907,-0.022281867824216817,0.02733789499386361,1.3881585880340213,-0.22902783766718568,-0.2007560092165196,1.1736203731747146,-0.05791739574386902,0.2944281846818983,1.2859491174046636,0.3257833114721818,2.3457148165374884,0.9715361133078476,False,"['edm', 'progressive house', 'electronica']",1.0136439024467019,0.7617743468267193,1.204336046893436,0.9331891338646414,0.504490548975913
Shorty Party,Shorty Party,Cartel De Santa,2023-03-04,MX3602300010,-1.2532205267368839,0.4814779625889317,-0.22981658329787735,-0.4303191788286769,-0.41417592663058717,0.33973772582350453,-0.04142189648510471,-0.09554662500612589,-0.21628438534294717,-0.10841381627834769,-0.09149921128522732,-0.05898960556354562,-0.6368847978612638,-0.40990045721118873,-0.4621937613929201,-0.5401232243388958,-0.0525093274152432,-0.706104417984863,-0.4293872872695859,-0.29331553777589564,,0.02678442577839002,True,"['mexican hip hop', 'latin hip hop']",-0.38282452229289304,-0.06646055388516602,-0.10198022064223679,-0.521349431357919,-0.17522495320312534
Drama,Drama - The 4th Mini Album,aespa,2023-11-10,KRA302300350,-1.2524645171295494,0.4814779625889317,-0.4631335169011916,-0.66644348377845,-0.3634209565122742,0.8958319987745492,-0.283498020028744,-0.0017185817020660206,-0.3690191371259671,-0.08827520206504948,-0.1222100286525727,1.339170136385466,-0.39946591813560967,-0.4091733389602338,-0.4513756475097587,-0.48484117280619865,-0.20304102189125356,-0.05191002393351909,-0.5085417572309775,-0.3339190976541216,-0.4364259024533685,-0.3755865270091986,False,['k-pop'],-0.453730032611106,-0.20285402434065836,-0.04499689188355775,-0.3873159392615798,0.25756938599397944
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,UK4ZF2000305,-1.2509524979148805,0.4814779625889317,1.3914492282609658,1.8450170287467538,2.2499100261427896,0.6486789885740849,-0.05682490907860449,-0.27848215705277934,-0.20885971109569196,-0.1609392352367107,-0.15157211876310334,-0.24220072658392808,4.586330556103127,2.7878796072547876,0.4339066719289493,3.3849024344825986,0.6077360418608477,1.5258529264256044,-0.16096129869406559,-0.2889484504575482,,1.0639749574165598,False,['dance pop'],1.1130685521876593,-0.10419851392085391,-0.21971069614474503,2.2106308990601073,0.8718151138065697
Callaita,Callaita,Bad Bunny,2019-05-31,QM6N21919851,-1.2494404787002118,0.47109902120641967,1.8588700599344319,1.365035397070241,1.5990606813254375,0.4015259783736206,1.337709837008274,0.7538732111317789,-0.13062316353092515,-0.1350847668811801,-0.13719228838377004,-0.037149043922877954,1.2624662399439692,-0.264969370996648,-0.3594216795028868,0.4733810537605511,0.6627185386840648,0.025054022425462553,0.5478040049875406,-0.1520964332022585,,0.08234008016410999,True,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",0.4455707536056094,0.600258774312252,0.3093942221252994,0.594768055999593,0.7415433920288749
How Do I Say Goodbye,How Do I Say Goodbye,Dean Lewis,2022-08-05,AUUM72200172,-1.2486844690928773,0.4685042858607916,0.022893197994341155,0.38565521903723243,0.401656708358402,0.33973772582350453,-0.40779439272732854,-0.3281640234672814,-0.3089652396001098,-0.036845120827007395,-0.06994147910719875,0.3120082156173297,0.03347439195234785,1.1811437345397207,0.30769534329206627,-0.20843091514271314,-0.3401003647288819,-0.12887407029250073,-0.15601783166759522,-0.27488098481135265,-0.30158940629315784,-0.032839770599476535,False,[],0.21082500757307496,-0.23886793591726363,-0.1825045721471444,-0.03861127185139725,0.12452151974894997
One Step Closer,Papercuts,Linkin Park,2024-04-12,USWB11201316,-1.2479284594855429,0.4659095505151636,0.44676631597399014,-0.8337579549528158,-0.7701457691593604,,,,,,,,,,,,,-0.936996557061808,,,,,False,"['nu metal', 'rap metal', 'rock', 'alternative metal']",0.44676631597399014,,,-0.8853772560073119,-0.7701457691593604
ULTRA SOLO,ULTRA SOLO,Polimï¿½ï¿½ Westc,2022-02-14,CLPP22200004,-1.2464164402708742,0.4633148151695357,-0.16218653920039974,-0.005565382679299417,-0.1464737576766096,0.030796463072924135,-0.36156845028472256,-0.39772656137084034,1.6546888843623015,0.6147558082993242,0.6298672522668309,,-0.27377357004555747,-0.28679855547693056,,-0.24528561616451122,-0.32540974907659787,-0.24432013983097317,-0.5100372670699604,-0.3342258289846464,,-0.21809092467183439,False,[],-0.3196741205824302,0.13414940099105419,0.10851462346424193,-0.22063410754099752,-0.23594175337660372
Hundred Miles (Sped Up Version),Hundred Miles (Sped Up Version) [feat. Gabriela Richardson] - Single,Yall,2023-02-03,ES7002364101,-1.2471724498782084,0.4633148151695357,-0.8007712796437808,-0.77131731911371,-0.7313164593314904,-0.9578155777289331,-0.570674163420244,-0.6302612271166856,1.567414457637712,0.08036585632777761,0.11213938235405281,,-0.7346455130424155,,,,,,-0.5102081174578149,-0.3357556514956391,,-0.3797971682046856,False,[],-0.6554896985507979,-0.2292673905330956,-0.274947685394454,-0.6139061612172548,-0.7313164593314904
SNAP,SNAP,Rosa Linn,2022-03-19,USSM12207342,-1.2456604306635397,0.4633148151695357,1.099764496303558,0.5615884944830173,1.246291160481047,0.9576202513246653,-0.5538794927571531,-0.577436170673409,-0.3785132514400424,-0.20443149007319786,-0.19628951323424926,,1.0948764424905661,2.4316385751417524,0.7277987657548339,0.7866460124458348,0.34512377681654743,0.5253203237588432,,,-0.3511422854732111,1.1088102371726434,False,[],0.9770148879317332,-0.3750845029957012,-0.3909338303733034,0.7421078182945653,0.7957074686487972
Lambiyan Raataan,Lambiyan Raataan - Single,Jubin Nautiyal,2021-08-27,QZ93L2125871,-1.2449044210562052,0.46072007982390767,-0.8308827149128358,-0.8349811783975359,-0.7865141421676642,,1.5616569629035641,1.8381011209451859,-0.3865006430139967,-0.20476048412298511,-0.1972883038864914,-0.13739704291231336,,,,,,,,,,,False,"['bhajan', 'hindi pop', 'bollywood', 'devotional']",-0.8308827149128358,0.6821843295085364,0.8166703184111004,-0.8349811783975359,-0.4619555925399888
Gangnam Style (ï¿½ï¿½ï¿½ï¿½ï¿½ï,Hits For Kids 29,PSY,2012-01-01,USUM71210283,-1.242636392234202,0.46072007982390767,0.055304417853061824,0.6161133280304283,0.1629408000129114,0.21616122072327237,7.760971640297707,6.21147785762483,-0.3266949308593036,-0.0879663503967357,-0.09905118563979877,-0.08264838223176516,0.5362437843125566,-0.3282833881604475,-0.3251643188728757,0.32596224967335885,-0.30567505346650065,-0.16735609347199154,,,,0.9023460569232891,False,['k-pop'],-0.19938109639342047,3.830960227328954,3.0617557536140474,0.3277408171360881,-0.07512754522845147
Criminal,Criminal,NATTI NATASHA,2017-08-18,USB271700112,-1.2418803826268676,0.46072007982390767,0.8204387743043384,0.34721507078591174,0.3012107458871801,0.33973772582350453,3.28324004705363,1.4268124087586056,-0.21251696417241925,-0.15268474069315002,-0.14424352787695577,-0.09831745539270213,0.0474402084067981,-0.31341264715704586,-0.3053311100870798,0.12326139405346948,-0.22865775832210886,1.2949607873486595,0.6223350947360001,-0.0931733446084364,,0.2110269736172474,False,"['reggaeton', 'latin', 'urbano latino', 'bachata']",0.20600752794905322,1.569498259588337,0.6370638340327278,0.3439408231972805,-0.008588155942543632
Chantaje,Chantaje,Shakira,2016-01-01,USSD11600299,-1.2433924018415363,0.46072007982390767,1.0378034868697863,0.5182132723340326,0.38709018807974405,0.5251024834738528,4.11407907768117,2.2897660108152387,-0.3365834387582488,-0.15448557473818253,-0.15148242133920603,-0.12007418643868768,0.8295259298560117,-0.26815149065405314,-0.3305733758144564,1.0814836206202192,-0.11905872207167695,0.9101405555537514,0.7714613892993145,0.21288317698925072,,0.8074724804272713,False,['latin pop'],0.3026350024251478,1.9812983281709822,1.067640218038528,0.7104493110706531,0.04931909318979314
Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,USUG12001748,-1.2441484114488708,0.46072007982390767,0.957025999135448,2.2943899542260735,0.569588399062863,0.33973772582350453,0.34563257754935456,0.5649857133715673,-0.3622407277561,-0.15270741701640916,-0.15789521766470224,-0.2136739385032575,1.6116116513052252,-0.4167963528815359,-0.3756488503276289,0.7129366104022385,-0.30547449418644707,0.140500091963935,0.15190879875062477,-0.12663389862706506,,-0.04530508369810493,True,['rap'],0.07912239866922696,0.09386867994232616,0.20613914817757908,0.9265608818540816,0.016813322124386132
Psycho,Psycho (feat. Ty Dolla $ign),Post Malone,2018-02-23,USUM71710836,-1.2403683634121987,0.45812534447827963,1.988447194030165,1.7495774799793928,0.28412228534015255,0.4015259783736206,1.3019514682332984,1.191725003310095,-0.3810282784438702,-0.19565296618166297,-0.19037839586405048,-0.07864408445166746,0.5222779678581063,0.6361803331626954,-0.17551374348914298,0.2338254971188637,-0.26391174790011124,-0.24432013983097317,2.1308783137616287,0.6135203043542728,,0.7303369586811059,True,[],1.1449980243663365,0.5557865361846239,0.49803601856421603,0.5749762218959324,-0.01947784900387538
